OBJECTID *,Shape *,ID,Region,County,Type,School.Name,City,Grade.Range,Total.Students,Percent.Immunized,county_norm,school_key,full_address,latitude,longitude,_merge
82,Point,82,Upstate,Cherokee,Public,Northwest Elementary,Gaffney,'4K-5th,372,0.935,cherokee,northwest elementary,"840 Green River Road, Gaffney, SC 29341",35.10368,-81.763402,both
83,Point,83,Upstate,Cherokee,Public,John E. Ewing Middle,Gaffney,'6-8,381,0.961,cherokee,john e. ewing middle,"171 East Junior High Road, Gaffney, SC 29340",35.056339,-81.630047,both
84,Point,84,Upstate,Cherokee,Public,Luther Vaughan Elementary,Gaffney,'4K-5th,385,0.93,cherokee,luther vaughan elementary,"192 Vaughn Rd, Gaffney, SC 29341",35.098356,-81.639283,left_only
85,Point,85,Upstate,Cherokee,Public,Blacksburg Middle,Blacksburg,'6-8,396,0.909,cherokee,blacksburg middle,"101 London Street, Blacksburg, SC 29702",35.113259,-81.515544,both
86,Point,86,Upstate,Cherokee,Public,Limestone-Central Elementary,Gaffney,'4k-5th,412,0.954,cherokee,limestone-central elementary,"727 Pacolet Highway, Gaffney, SC 29341",35.048812,-81.671281,both
87,Point,87,Upstate,Cherokee,Public,Grassy Pond Elementary,Gaffney,'4k-5th,460,0.92,cherokee,grassy pond elementary,"1146 Boiling Springs Highway, Gaffney, SC 29341",35.133787,-81.667137,both
88,Point,88,Upstate,Cherokee,Public,Blacksburg High,Blacksburg,'9-12,460,0.976,cherokee,blacksburg high,"201 West Ramseur Drive, Blacksburg, SC 29702",35.114465,-81.514029,both
89,Point,89,Upstate,Cherokee,Public,B. D. Lee Elementary,Gaffney,'3k-5,477,0.964,cherokee,b. d. lee elementary,"401 Overbrook Drive, Gaffney, SC 29341",35.077335,-81.661669,both
90,Point,90,Upstate,Cherokee,Public,Cherokee Charter School,gaffney,'4K-10th grade,694,0.745,cherokee,cherokee charter school,"3206 Cherokee Ave, Gaffney, SC 29340",35.079689,-81.603961,left_only
91,Point,91,Upstate,Cherokee,Public,Gaffney Middle,Gaffney,'6-8,827,0.936,cherokee,gaffney middle,"805 East Frederick Street, Gaffney, SC 29340",35.066659,-81.641258,both
92,Point,92,Upstate,Cherokee,Public,Gaffney High,Gaffney,'1-9,1793,0.972,cherokee,gaffney high,"149 Twin Lake Road, Gaffney, SC 29341",35.067436,-81.682373,both
93,Point,93,Upstate,Greenville,Private,Haynsworth School,Greenville,'2K - 5K,<10,1,greenville,haynsworth school,"228 E PARK AVE, GREENVILLE, SC 29601",34.85647,-82.390881,both
